Document_No,Day_No,Menu_1,Menu_2,Date/time
288,3,"चहा,उपमा,पोळी,पत्ता कोबी,वांग्याची भाजी","चहा,उपमा,पोळी",2018-05-27 05:33:05.689698+00:00
289,1,"चहा,उपमा,पोळी,बेसन,आलूची भाजी","चहा,उपमा,पोळी",2018-05-27 05:34:45.740290+00:00
289,2,"चहा,दूध,शिरा,पोळी,मेथीची भाजी,पालक वरण","चहा,पोळी",2018-05-27 05:35:28.123760+00:00
289,3,"चहा,पोहे,कढी,भात,आलूची भाजी","कढी,पोळी",2018-05-27 05:36:04.385105+00:00
290,1,"चहा,ब्रेड,दूध,उपमा,पोळी,मेथीची भाजी,आलूची भाजी","चहा,उपमा,पोळी",2018-05-27 05:38:11.731348+00:00
290,2,"चहा,दूध,पोहे,पोळी,पालक वरण,आलूची भाजी,वांग्याची भाजी","चहा,पोहे,पोळी",2018-05-27 05:38:52.161206+00:00
290,3,"चहा,दूध,उपमा,कढी,पोळी,भात,पालक वरण",उपमा,2018-05-27 05:39:29.768401+00:00
291,1,"चहा,ब्रेड,उपमा,कढी,पोळी,पत्ता कोबी,पालक वरण","उपमा,पोळी",2018-05-27 05:40:32.051982+00:00
291,2,"चहा,दूध,उपमा,पोळी,पत्ता कोबी,अंड्याची भाजी","चहा,दूध,पोळी",2018-05-27 05:41:11.104595+00:00
291,3,"चहा,दूध,पोहे,कढी,भात,पत्ता कोबी","चहा,पोहे,पोळी",2018-05-27 05:41:47.944223+00:00
292,1,"चहा,ब्रेड,उपमा,पोळी,पत्ता कोबी,टमाटर चटणी","चहा,उपमा,पोळी",2018-05-27 05:43:36.325067+00:00
292,2,"चहा,पोहे,पोळी,पत्ता कोबी,आलूची भाजी","चहा,पोहे,पोळी",2018-05-27 05:44:10.082992+00:00
292,3,"चहा,दूध,पोहे,कढी,भात,पत्ता कोबी","चहा,पोळी",2018-05-27 05:44:51.761626+00:00
293,1,"चहा,दूध,शिरा,पोळी,पत्ता कोबी,वांग्याची भाजी","चहा,पोळी",2018-05-27 05:46:49.564061+00:00
293,2,"चहा,उपमा,चण्याची उसळ,पोळी,पत्ता कोबी","चहा,उपमा,पोळी",2018-05-27 05:47:46.813670+00:00
293,3,"चहा,पोहे,कढी,पोळी,भात,मेथीची भाजी,पालक वरण","चहा,पोळी",2018-05-27 05:48:30.662351+00:00
294,1,"चहा,शिरा,पोळी,पत्ता कोबी,मेथीची भाजी,पालक वरण","चहा,पोळी",2018-05-27 05:49:58.638555+00:00
294,2,"चहा,उपमा,कढी,पोळी,मेथीची भाजी,पालक वरण","चहा,उपमा,पोळी",2018-05-27 05:50:35.622806+00:00
294,3,"चहा,पोहे,कढी,भात,पत्ता कोबी","चहा,पोहे,पोळी",2018-05-27 05:51:10.731752+00:00
295,1,"चहा,उपमा,पोळी,पालक वरण,आलूची भाजी,वांग्याची भाजी","चहा,उपमा,पोळी",2018-05-27 05:53:03.769140+00:00
295,2,"चहा,दूध,पोहे,पोळी,पत्ता कोबी,पालक वरण","चहा,पोळी",2018-05-27 05:53:41.772506+00:00
295,3,"चहा,दूध,साबुदाणा उसळ,पोळी,आलूची भाजी",चहा,2018-05-27 05:54:12.918857+00:00
296,1,"चहा,पोळी,भात,पालक वरण,आलूची भाजी","चहा,पोळी",2018-05-27 05:55:33.872124+00:00
296,2,"चहा,पोहे,पोळी,मेथीची भाजी,पालक वरण,वांग्याची भाजी","चहा,पोळी",2018-05-27 05:56:14.100892+00:00
