Document_No,Day_No,Menu_1,Menu_2,Date/time
71,3,"चहा,दूध,उपमा,पोळी,खिचडी,पत्ता कोबी,टमाटर चटणी",चहा,2018-05-24 14:19:42.690508+00:00
72,1,"चहा,मटकीची उसळ,पोळी,भात,खिचडी,पालक वरण,टमाटर चटणी",चहा,2018-05-24 14:21:35.693433+00:00
72,2,"चहा,दूध,उपमा,शिरा,पोळी,मेथीची भाजी",दूध,2018-05-24 14:22:23.903068+00:00
72,3,"चहा,ब्रेड,मटकीची उसळ,पोळी,खिचडी,बेसन,टमाटर चटणी",चहा,2018-05-24 14:23:08.915436+00:00
73,1,"चहा,दूध,उपमा,पोळी,बेसन,आलूची भाजी","चहा,पोळी",2018-05-24 14:24:39.516515+00:00
73,2,"चहा,दूध,दहीवडे,उसाचा रस,पोळी,भात,खिचडी,बेसन,पालक वरण",दहीवडे,2018-05-24 14:25:41.955428+00:00
73,3,"चहा,ब्रेड,दूध,उपमा,पोळी,भात,मेथीची भाजी,वांग्याचं भरीत","चहा,उपमा,पोळी",2018-05-24 14:26:27.010206+00:00
74,1,"चहा,उपमा,पोळी,भात,खिचडी,बेसन,वांग्याची भाजी","चहा,उपमा",2018-05-24 14:27:57.858500+00:00
74,2,"चहा,ब्रेड,पोहे,पोळी,भात,वांग्याची भाजी","चहा,पोळी,बेसन",2018-05-24 14:28:42.957471+00:00
74,3,"चहा,उपमा,पोळी,भात,खिचडी,वांग्याचं भरीत,अंड्याची भाजी",चहा,2018-05-24 14:29:23.734824+00:00
75,1,"चहा,बिस्कीट,पोहे,पोळी,खिचडी,बेसन,वांग्याचं भरीत",चहा,2018-05-24 14:31:44.760705+00:00
75,2,"चहा,बिस्कीट,दूध,उपमा,पोळी,भात,डाळ पालक,वांग्याची भाजी","चहा,पोळी",2018-05-24 14:32:44.846663+00:00
75,3,"चहा,ब्रेड,बिस्कीट,दूध,पोहे,पोळी,भात,पालक वरण,आलूची भाजी","चहा,पोळी",2018-05-24 14:33:36.886474+00:00
76,1,"चहा,बिस्कीट,दूध,पोळी,भात,खिचडी,बेसन,आलूची भाजी",चहा,2018-05-24 16:03:58.672091+00:00
76,2,"चहा,पोहे,पोळी,खिचडी,पालक वरण,टमाटर चटणी,वांग्याची भाजी",चहा,2018-05-24 16:04:45.079206+00:00
76,3,"चहा,दूध,साबुदाणा उसळ,पोळी,भात,पालक वरण",चहा,2018-05-24 16:05:23.643734+00:00
77,1,"चहा,ब्रेड,उपमा,मटकीची उसळ,भाकर,पोळी,वांग्याची भाजी","चहा,उपमा",2018-05-24 16:06:53.905390+00:00
77,2,"चहा,बिस्कीट,शिरा,मटकीची उसळ,पोळी,भात,खिचडी,बेसन","चहा,बिस्कीट",2018-05-24 16:07:33.790084+00:00
77,3,"चहा,दूध,साबुदाणा उसळ,पोळी,भात,आलूची भाजी",चहा,2018-05-24 16:19:07.611236+00:00
78,1,"चहा,ब्रेड,उपमा,पोळी,खिचडी,बेसन,वांग्याचं भरीत",चहा,2018-05-24 16:21:21.331586+00:00
78,2,"चहा,बिस्कीट,दूध,पोळी,भात,बेसन,वांग्याची भाजी",चहा,2018-05-24 16:22:24.969627+00:00
78,3,"चहा,ब्रेड,कढी,पोळी,भात,अंड्याची भाजी","चहा,भात",2018-05-24 16:23:08.211080+00:00
79,1,"चहा,ब्रेड,उपमा,पोळी,मेथीची भाजी,पालक वरण,आलूची भाजी","चहा,पोळी",2018-05-24 16:24:56.252103+00:00
79,2,"चहा,दूध,साबुदाणा उसळ,पोळी,भात,पालक वरण",दूध,2018-05-24 16:26:11.975087+00:00
79,3,"चहा,ब्रेड,पोळी,भात,खिचडी,टमाटर चटणी,वांग्याची भाजी","चहा,भात",2018-05-24 16:27:02.845887+00:00
80,1,"चहा,ब्रेड,दूध,उपमा,पोळी,पत्ता कोबी,मेथीची भाजी","चहा,पोळी",2018-05-24 16:29:10.999619+00:00
80,2,"चहा,दूध,साबुदाणा उसळ,पोळी,भात,वांग्याची भाजी",दूध,2018-05-24 16:29:47.223112+00:00
80,3,"चहा,ब्रेड,पोहे,पोळी,भात,खिचडी,बेसन,आलूची भाजी","चहा,पोहे",2018-05-24 16:30:36.596210+00:00
81,1,"चहा,बिस्कीट,उपमा,पोळी,भात,डाळ पालक,आलूची भाजी","चहा,उपमा,पोळी",2018-05-24 16:32:40.923543+00:00
81,2,"चहा,बिस्कीट,दूध,उपमा,पोळी,पत्ता कोबी,टमाटर चटणी","चहा,उपमा,पोळी",2018-05-24 16:33:23.666107+00:00
81,3,"चहा,बिस्कीट,पोहे,भाकर,पोळी,बेसन,मेथीची भाजी,पालक वरण","चहा,पोहे",2018-05-24 16:34:13.599461+00:00
82,1,"चहा,दूध,उपमा,भाकर,खिचडी,बेसन,टमाटर चटणी",चहा,2018-05-24 16:35:30.774014+00:00
82,2,"चहा,दूध,उपमा,पोळी,भात,वांग्याची भाजी","चहा,पोळी,वांग्याची भाजी",2018-05-24 16:36:37.569289+00:00
82,3,"चहा,पोहे,पोळी,भात,खिचडी,बेसन,डाळ पालक",चहा,2018-05-24 16:37:14.406378+00:00
83,1,"चहा,पोहे,कढी,पोळी,खिचडी,बेसन,वांग्याची भाजी","चहा,पोहे",2018-05-24 16:38:49.274592+00:00
83,2,"चहा,बिस्कीट,दूध,उपमा,पोळी,भात,डाळ पालक,वांग्याची भाजी","चहा,पोळी",2018-05-24 16:39:39.796147+00:00
83,3,"चहा,दूध,पोळी,भात,खिचडी,बेसन,वांग्याची भाजी",चहा,2018-05-24 16:40:24.820285+00:00
84,1,"चहा,बिस्कीट,दूध,वाटाणा उसळ,पोळी,वांग्याची भाजी","चहा,दूध,पोळी",2018-05-24 16:42:12.872160+00:00
84,2,"चहा,दूध,साबुदाणा उसळ,पोळी,भात,डाळ पालक",चहा,2018-05-24 17:00:17.147710+00:00
84,3,"चहा,ब्रेड,दूध,पोळी,भात,खिचडी,बेसन,वांग्याची भाजी",चहा,2018-05-24 17:01:02.118050+00:00
85,1,"चहा,उपमा,पोळी,भात,डाळ पालक,वांग्याची भाजी","चहा,दूध,उपमा,पोळी",2018-05-24 16:43:35.009069+00:00
